Symbol,Company,Sector,Industry,Current_Price,Market_Cap_B,PE_Ratio,PB_Ratio,EV_EBIT,ROE,ROA,ROIC,Operating_Margin,Earnings_Growth,Revenue_Growth,Debt_to_Equity,FCF_Yield,Dividend_Yield,DCF_Value_Gap,Fair_Value,Classification,Valuation_Tag
AAPL,Apple Inc.,Information Technology,Software,255.41,153.53,29.21,3.74,11.29,22.73,9,14.3,23.14,16.95,16.34,1.93,4.25,0.26,-6.52,238.76,Growth,GROWTH – Watchlist
MSFT,Microsoft Corp.,Information Technology,Hardware,260.19,442.28,24.48,5.02,27.96,17.79,7,11.27,18.22,11.41,15.36,0.86,4.43,1.28,5.27,273.9,Blend,BLEND – Mixed
NVDA,NVIDIA Corp.,Information Technology,Software,147.43,404.29,33.51,7.08,17.55,19.86,8,16.77,15.94,20.61,9.7,1.53,4.73,0.8,11.4,164.23,Growth,GROWTH – Momentum
ADBE,Adobe Inc.,Information Technology,Hardware,247.42,477.4,32.77,7.25,21.05,17.51,7,14.04,14.78,12.84,19.1,0.95,2.6,1.91,0.59,248.87,Growth,GROWTH – Watchlist
ORCL,Oracle Corp.,Information Technology,Semiconductors,171.27,480.24,34.94,5.84,15.74,22.77,9,17.06,25.68,23.04,11.26,1.6,2.3,3.36,-9.63,154.77,Growth,GROWTH – Momentum
CRM,Salesforce Inc.,Information Technology,Software,117.84,271.83,22.77,3.98,19.74,21.64,9,16.64,13.44,11.52,18.92,0.45,1.21,1.74,-10.28,105.73,Blend,BLEND – Mixed
CSCO,Cisco Systems Inc.,Information Technology,Software,252.07,88.82,31.27,4.19,21.81,21.22,8,12.88,12.07,19.22,15.53,1.87,5.99,1.64,15.05,290.01,Growth,GROWTH – Momentum
INTC,Intel Corp.,Information Technology,IT Services,272.42,158.04,31.46,7.55,13.46,22.52,9,16.59,22.05,15.9,14.7,0.3,4.14,3.86,-14.78,232.15,Growth,GROWTH – Watchlist
AMD,Advanced Micro Devices Inc.,Information Technology,Semiconductors,293.12,453.67,22.86,6.58,17.94,8.14,3,5.52,15.97,11.07,14.79,0.24,2.69,3.71,-2.5,285.8,Blend,BLEND – Mixed
JNJ,Johnson & Johnson,Health Care,Biotechnology,32.99,189.99,23.3,4.32,20.75,18.11,7,13.73,12.93,13.95,4.33,1.73,2.67,1.65,11.82,36.89,Blend,BLEND – Mixed
PFE,Pfizer Inc.,Health Care,Health Services,223.14,215.02,19.43,2.19,26.67,9.33,4,5.68,21.9,11.68,9.67,1.41,2.07,0.25,16.88,260.8,Blend,BLEND – Mixed
MRK,Merck & Co Inc.,Health Care,Medical Devices,116.58,161.83,15.2,4.43,10.35,14.51,6,11.61,16.35,10.34,8.11,1.29,2.6,3.27,-3.19,112.86,Blend,BLEND – Mixed
UNH,UnitedHealth Group Inc.,Health Care,Medical Devices,49.45,449.77,15.95,3.78,15.25,18.35,7,12.77,11.39,7.37,11.58,1.45,5.89,0.59,5.38,52.11,Blend,BLEND – Mixed
ABT,Abbott Laboratories,Health Care,Health Services,126.83,52.2,16.57,3.62,28.72,13.35,5,10.06,19.48,9.06,5.31,1.09,6.25,1.53,13.24,143.62,Blend,BLEND – Mixed
LLY,Eli Lilly and Co.,Health Care,Medical Devices,53.31,466.29,20.37,3.24,21.87,15.01,6,12.28,14.89,6.92,8.55,0.63,4.01,1.97,12.77,60.12,Blend,BLEND – Mixed
TMO,Thermo Fisher Scientific Inc.,Health Care,Medical Devices,261.09,423.78,20.81,3.27,18.18,17.48,7,13.72,17.37,9.46,7.75,1.91,5.1,0.15,-1.98,255.93,Blend,BLEND – Mixed
AMGN,Amgen Inc.,Health Care,Pharmaceuticals,254.71,56.7,22.01,3.38,11.18,21.21,8,14.73,25.55,8.59,9.89,0.97,2.68,0.95,-1.88,249.92,Blend,BLEND – Mixed
BMY,Bristol-Myers Squibb Co.,Health Care,Health Services,81.62,473.37,20.15,2.12,13.29,5.46,2,3.54,14.04,10.35,8.65,0.99,2.11,3.4,16.98,95.48,Blend,BLEND – Mixed
JPM,JPMorgan Chase & Co.,Financials,Banks,281.12,205.31,21.85,3.26,28.84,22.91,9,18.46,13.93,10.95,9.25,0.34,2.27,2.16,14.03,320.57,Blend,BLEND – Mixed
BAC,Bank of America Corp.,Financials,Banks,154.99,399.41,24.46,2.96,16.94,15.0,6,12.01,20.35,7.21,5.4,0.93,4.32,1.49,17.87,182.68,Blend,BLEND – Mixed
